year,cpt_hcpcs,work_rvu,pe_rvu_facility,pe_rvu_nonfacility,mp_rvu,status_indicator,global_days
2026,25605,6.09,8.99,11.54,1.37,A,090
2026,25606,8.10,9.42,9.42,1.69,A,090
2026,25607,9.32,9.68,9.68,1.88,A,090
2026,25608,10.79,10.15,10.15,2.17,A,090
2026,25609,14.02,12.22,12.22,2.75,A,090
2026,25622,2.72,5.60,7.24,0.54,A,090
2026,25624,4.65,7.71,10.79,1.00,A,090
2026,25628,9.43,8.80,8.80,1.80,A,090
2026,25630,2.95,5.17,6.80,0.58,A,090
2026,25635,4.49,7.22,10.14,0.96,A,090
2026,25645,7.23,7.59,7.59,1.53,A,090
2026,25650,3.15,5.92,7.54,0.66,A,090
2026,25651,5.67,7.38,7.38,1.13,A,090
2026,25652,7.86,8.26,8.26,1.57,A,090
2026,25660,4.86,7.44,7.44,1.05,A,090
2026,25670,7.89,7.80,7.80,1.68,A,090
2026,25671,6.30,8.02,8.02,1.33,A,090
2026,25675,4.77,8.75,11.46,1.13,A,090
2026,25676,8.08,8.13,8.13,1.61,A,090
2026,25680,6.07,8.17,8.17,1.30,A,090
2026,25685,9.84,8.77,8.77,2.09,A,090
2026,25690,5.58,7.66,7.66,1.20,A,090
2026,25695,8.30,7.93,7.93,1.76,A,090
2026,25800,9.82,8.46,8.46,1.88,A,090
2026,25805,11.44,9.84,9.84,2.44,A,090
2026,25810,11.65,9.92,9.92,2.20,A,090
2026,25820,7.45,9.52,9.52,1.45,A,090
2026,25825,9.45,11.03,11.03,1.79,A,090
2026,25830,10.61,16.37,16.37,2.08,A,090
2026,25900,9.37,8.81,8.81,1.88,A,090
2026,25905,9.35,8.42,8.42,1.99,A,090
2026,25907,7.89,7.96,7.96,1.68,A,090
2026,25909,9.08,8.33,8.33,1.93,A,090
2026,25915,17.08,11.01,11.01,3.63,A,090
2026,25920,8.80,10.21,10.21,1.87,A,090
2026,25922,7.46,9.63,9.63,1.59,A,090
2026,25924,8.59,9.99,9.99,1.83,A,090
2026,25927,8.86,14.39,14.39,1.90,A,090
2026,25929,7.62,7.87,7.87,1.63,A,090
2026,25931,7.84,13.91,13.91,1.67,A,090
2026,25999,0.00,0.00,0.00,0.00,C,YYY
2026,26010,1.55,2.51,9.40,0.28,A,010
2026,26011,2.18,2.85,12.87,0.43,A,010
2026,26020,6.67,7.95,7.95,1.31,A,090
2026,26025,4.95,6.17,6.17,0.99,A,090
2026,26030,6.09,6.67,6.67,1.19,A,090
2026,26034,6.46,8.03,8.03,1.26,A,090
2026,26035,11.09,10.96,10.96,2.36,A,090
2026,26037,7.38,6.96,6.96,1.44,A,090
2026,26040,3.37,5.25,5.25,0.62,A,090
2026,26045,5.59,6.87,6.87,1.11,A,090
2026,26055,3.03,5.00,15.24,0.58,A,090
2026,26060,2.84,4.00,4.00,0.45,A,090
2026,26070,3.71,4.98,4.98,0.68,A,090
2026,26075,3.81,5.34,5.34,0.73,A,090
2026,26080,4.36,6.41,6.41,0.84,A,090
2026,26100,3.70,5.65,5.65,0.79,A,090
2026,26105,3.73,5.66,5.66,0.80,A,090
2026,26110,3.56,5.28,5.28,0.68,A,090
2026,26111,5.28,5.45,5.45,1.04,A,090
2026,26113,6.95,7.07,7.07,1.31,A,090
2026,26115,3.86,5.01,13.00,0.75,A,090
2026,26116,6.57,6.97,6.97,1.25,A,090
2026,26117,9.88,8.93,8.93,1.98,A,090
2026,26118,14.44,11.81,11.81,2.91,A,090
2026,26121,7.54,7.84,7.84,1.44,A,090
2026,26123,10.61,10.76,10.76,2.02,A,090
2026,26125,4.49,1.48,1.48,0.86,A,ZZZ
2026,26130,5.45,7.11,7.11,1.17,A,090
