cpt_hcpcs,tos,tos_desc,age_from,age_thru,age_units,urban_allowed_amount,urban_effective_start,rural_allowed_amount,rural_effective_start,note_code_1,note_code_2,note_code_3,last_pricing_review_date,source_code,source_description
73020,4,RADIOLOGY,0,999,Years,21.71,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73030,4,RADIOLOGY,0,999,Years,35.09,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73040,4,RADIOLOGY,0,999,Years,131.99,2025-03-01,461.69,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73050,4,RADIOLOGY,0,999,Years,29.08,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73060,4,RADIOLOGY,0,999,Years,32.08,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73070,4,RADIOLOGY,0,999,Years,29.40,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73080,4,RADIOLOGY,0,999,Years,33.08,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73085,4,RADIOLOGY,0,999,Years,100.24,2025-03-01,461.69,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73090,4,RADIOLOGY,0,999,Years,29.40,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73092,4,RADIOLOGY,0,365,Days,104.75,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73100,4,RADIOLOGY,0,999,Years,34.09,2023-09-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73110,4,RADIOLOGY,0,999,Years,41.44,2025-03-01,109.09,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
73115,4,RADIOLOGY,0,999,Years,135.33,2025-03-01,461.69,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
